town_code,party_code,acronym,name,votes,seats
01052,2238,EH Bildu,EUSKAL HERRIA BILDU,68,3
01052,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),39,1
01052,4252,P.P.,PARTIDO POPULAR,2, 
01053,2238,EH Bildu,EUSKAL HERRIA BILDU,161,4
01053,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,106,2
01053,0001,15AT HAMABOSTBAT,15AT HAMABOSTBAT,60,1
01053,4252,P.P.,PARTIDO POPULAR,31, 
01054,2238,EH Bildu,EUSKAL HERRIA BILDU,318,4
01054,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,299,4
01054,5239,URKABUSTAIZ ZABALA,URKABUSTAIZ ZABALA,67,1
01054,4252,P.P.,PARTIDO POPULAR,16, 
01054,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),6, 
01055,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,261,5
01055,0744,AGRUPACIÓN VALDEGOVÍA,AGRUPACIÓN VALDEGOVÍA,110,2
01055,4252,P.P.,PARTIDO POPULAR,96,1
01055,2238,EH Bildu,EUSKAL HERRIA BILDU,79,1
01055,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),25, 
01057,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,122,4
01057,2238,EH Bildu,EUSKAL HERRIA BILDU,98,3
01057,4252,P.P.,PARTIDO POPULAR,3, 
01059,4252,P.P.,PARTIDO POPULAR,35484,9
01059,2238,EH Bildu,EUSKAL HERRIA BILDU,23324,6
01059,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,19826,5
01059,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),14242,4
01059,4931,SUMANDO-HEMEN GAUDE,SUMANDO-HEMEN GAUDE,10307,2
01059,3150,IRABAZI,"IRABAZI - GANAR GASTEIZ (EZKER ANITZA - IU, EQUO, BERDEAK)",6083,1
01059,1456,C's,CIUDADANOS-PARTIDO DE LA CIUDADANIA,3808, 
01059,4626,RECORTES CERO,RECORTES CERO,1119, 
01059,4496,GVG,PLATAFORMA CIUDADANA GASTORIA VG,1004, 
01059,5163,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,995, 
01059,2065,EB,ESCAÑOS EN BLANCO,838, 
01059,5373,VOX,VOX,344, 
01059,4068,O.E.,ONGI ETORRI,294, 
01060,0668,AIZ-ZTI,AGRUPACIÓN INDEPENDIENTE ZUKERA,83,4
01060,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),81,3
01060,4252,P.P.,PARTIDO POPULAR,2, 
01061,2238,EH Bildu,EUSKAL HERRIA BILDU,100,5
01061,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,22, 
01061,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),5, 
01061,4252,P.P.,PARTIDO POPULAR,0, 
01062,0596,AIZ / ZAI,AGRUPACIÓN INDEPENDIENTE DE ZAMBRANA,144,4
01062,4252,P.P.,PARTIDO POPULAR,62,2
01062,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,34,1
01062,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),3, 
01018,2238,EH Bildu,EUSKAL HERRIA BILDU,320,4
01018,0313,SARRAGOA,AGRUPACIÓN DE ELECTORES SARRAGOA,278,3
01018,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,175,2
01018,4252,P.P.,PARTIDO POPULAR,64, 
01018,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),27, 
01063,2238,EH Bildu,EUSKAL HERRIA BILDU,429,4
01063,2242,E.A.J.-P.N.V.,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,367,3
01063,5412,ZBG-ZNU,ZUIAK BATZEN GAITU - ZUIA NOS UNE,302,3
01063,4252,P.P.,PARTIDO POPULAR,95,1
01063,4294,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),59, 
33001,4314,PSOE,Partido Socialista Obrero Español,694,6
33001,2304,FAC,Foro de Ciudadanos,211,1
33001,0859,ALLI,Allendeses Independientes,187,1
33001,4249,PP,Partido Popular,130,1
33002,4314,PSOE,Partido Socialista Obrero Español,1938,6
33002,4249,PP,Partido Popular,1337,4
33002,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,1277,3
33002,2304,FAC,Foro de Ciudadanos,712,2
33002,5383,Xente por Ayer/Aller,Xente por Ayer/Aller,536,1
33002,0910,AIPA,Alternativa Independiente por Aller,526,1
33003,2304,FAC,Foro de Ciudadanos,211,4
33003,4314,PSOE,Partido Socialista Obrero Español,133,2
33003,4249,PP,Partido Popular,68,1
33003,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,40, 
33004,4314,PSOE,Partido Socialista Obrero Español,10468,8
33004,4249,PP,Partido Popular,8455,6
33004,0324,SOMOS AVILÉS,"Agrupación de Electores ""Somos Avilés""",6551,5
33004,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,5113,3
33004,1459,C's,Ciudadanos-Partido de la Ciudadanía,2981,2
33004,2387,GANEMOS,Ganemos Avilés en Común,2109,1
33004,2304,FAC,Foro de Ciudadanos,1889, 
33004,2064,EB,Escaños en Blanco,394, 
33004,4146,PCPE,Partido Comunista de los Pueblos de España,142, 
33005,4314,PSOE,Partido Socialista Obrero Español,594,6
33005,4249,PP,Partido Popular,384,3
33005,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,73, 
33006,4314,PSOE,Partido Socialista Obrero Español,344,4
33006,4463,PAS,Partiu Asturianista,262,3
33006,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,168,1
33006,5384,Xente Yerbato,Xente Yerbato,164,1
33006,4850,Somos Bimenes,Somos Bimenes,79, 
33006,4249,PP,Partido Popular,69, 
33006,2299,FORO,Foro,15, 
33007,4314,PSOE,Partido Socialista Obrero Español,605,6
33007,4249,PP,Partido Popular,188,2
33007,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,168,1
33007,2304,FAC,Foro de Ciudadanos,81, 
33008,4314,PSOE,Partido Socialista Obrero Español,577,5
33008,4249,PP,Partido Popular,465,4
33008,2304,FAC,Foro de Ciudadanos,182,1
33008,4852,Somos Cabrales,Somos Cabrales,101,1
33008,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,7, 
33009,4314,PSOE,Partido Socialista Obrero Español,427,7
33009,4249,PP,Partido Popular,87,1
33009,2303,FAC,Foro Ciudadanos,64,1
33009,3444,IU-IX,Izquierda Unida - Izquierda Xunida D'asturies,38, 
33010,4314,PSOE,Partido Socialista Obrero Español,653,6
33010,4249,PP,Partido Popular,288,3
33010,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,225,2
33010,2304,FAC,Foro de Ciudadanos,76, 
33012,4249,PP,Partido Popular,1990,8
33012,4314,PSOE,Partido Socialista Obrero Español,855,3
33012,0151,CANGUES PUEDE,Agrupación de Electores Cangues Puede,334,1
33012,2304,FAC,Foro de Ciudadanos,234,1
33012,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,142, 
33011,4249,PP,Partido Popular,2738,8
33011,4314,PSOE,Partido Socialista Obrero Español,1583,5
33011,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,1257,3
33011,2304,FAC,Foro de Ciudadanos,627,1
33013,4249,PP,Partido Popular,183,4
33013,4314,PSOE,Partido Socialista Obrero Español,84,1
33013,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,51,1
33013,2304,FAC,Foro de Ciudadanos,43,1
33014,4314,PSOE,Partido Socialista Obrero Español,1699,6
33014,4249,PP,Partido Popular,1136,4
33014,4856,Somos Carreño,Somos Carreño,980,4
33014,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,962,3
33014,2304,FAC,Foro de Ciudadanos,269, 
33014,1382,CA-UN,Carreño Unido,235, 
33014,4146,PCPE,Partido Comunista de los Pueblos de España,207, 
33014,1459,C's,Ciudadanos-Partido de la Ciudadanía,139, 
33015,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,345,4
33015,3445,IU-IX,IZQUIERDA UNIDA-IZQUIERDA XUNIDA D'ASTURIES,334,3
33015,4252,P.P.,PARTIDO POPULAR,234,2
33015,2305,FAC,FORO DE CIUDADANOS,81, 
33016,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,3638,8
33016,4249,PP,Partido Popular,3102,6
33016,4314,PSOE,Partido Socialista Obrero Español,1790,3
33016,1392,CSP,Castrillón Si Puede,1306,2
33016,1459,C's,Ciudadanos-Partido de la Ciudadanía,787,1
33016,2304,FAC,Foro de Ciudadanos,772,1
33016,1608,CyDC,Compromiso y Defensa Ciudadana,174, 
33017,4314,PSOE,Partido Socialista Obrero Español,1081,6
33017,4249,PP,Partido Popular,740,4
33017,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,173,1
33017,2304,FAC,Foro de Ciudadanos,83, 
33018,4249,PP,Partido Popular,1281,8
33018,4314,PSOE,Partido Socialista Obrero Español,382,2
33018,1541,COAÑESES,Coañeses,176,1
33018,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,92, 
33019,4314,PSOE,Partido Socialista Obrero Español,912,6
33019,4249,PP,Partido Popular,585,4
33019,2304,FAC,Foro de Ciudadanos,249,1
33019,1866,Conceyu Colunga Puede!,Conceyu Colunga Puede!,144, 
33019,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,124, 
33020,4314,PSOE,Partido Socialista Obrero Español,3903,10
33020,0325,SOMOS CORVERA,Agrupación de Electores Somos Corvera,1165,2
33020,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,864,2
33020,4249,PP,Partido Popular,772,1
33020,5170,USPC,Unión Social Progresista de Corvera,507,1
33020,2304,FAC,Foro de Ciudadanos,452,1
33020,1459,C's,Ciudadanos-Partido de la Ciudadanía,263, 
33020,4000,MAS CORVERA,Movimientu Asturianu de Corvera,198, 
33020,4146,PCPE,Partido Comunista de los Pueblos de España,23, 
33021,4314,PSOE,Partido Socialista Obrero Español,1017,5
33021,4249,PP,Partido Popular,1003,5
33021,4863,Somos Cudillero/Cuideiru,Somos Cudillero/Cuideiru,395,1
33021,5290,VPC,Vecinos por Cudillero,256,1
33021,2304,FAC,Foro de Ciudadanos,205,1
33022,4314,PSOE,Partido Socialista Obrero Español,211,3
33022,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,140,2
33022,4146,PCPE,Partido Comunista de los Pueblos de España,109,2
33022,4249,PP,Partido Popular,103,1
33022,2304,FAC,Foro de Ciudadanos,94,1
33023,4314,PSOE,Partido Socialista Obrero Español,1237,7
33023,4249,PP,Partido Popular,435,2
33023,2304,FAC,Foro de Ciudadanos,383,2
33024,2304,FAC,Foro de Ciudadanos,36183,8
33024,4314,PSOE,Partido Socialista Obrero Español,35105,7
33024,5387,Xixón Sí Puede,Xixón Sí Puede,29750,6
33024,4249,PP,Partido Popular,15214,3
33024,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,11533,2
33024,1459,C's,Ciudadanos-Partido de la Ciudadanía,8058,1
33024,5161,UPyD,Unión Progreso y Democracia,1332, 
33024,2064,EB,Escaños en Blanco,1276, 
33024,3987,MOVIMIENTO RED,"Movimiento de Renovación Democrática Ciudadana, Movimiento Red",418, 
33024,0997,ANDECHA,Andecha Astur,388, 
33024,4146,PCPE,Partido Comunista de los Pueblos de España,306, 
33025,4314,PSOE,Partido Socialista Obrero Español,1905,6
33025,4249,PP,Partido Popular,1826,6
33025,3281,IU/IX - Equo,Izquierda Unida de Asturias-Equo: Convocatoria por Gozón,1365,5
33025,2304,FAC,Foro de Ciudadanos,247, 
33026,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,2103,9
33026,4249,PP,Partido Popular,1101,4
33026,4314,PSOE,Partido Socialista Obrero Español,830,3
33026,2304,FAC,Foro de Ciudadanos,377,1
33026,0603,AIGRAS,Agrupación Independiente Grado Asturias,203, 
33026,5161,UPyD,Unión Progreso y Democracia,91, 
33027,4314,PSOE,Partido Socialista Obrero Español,426,5
33027,2559,GAI,"Grandaleses, Agrupación Independiente",200,2
33027,4249,PP,Partido Popular,32, 
33028,4021,NOS-IBIAS,Nós por Ibias,315,3
33028,4314,PSOE,Partido Socialista Obrero Español,249,3
33028,2304,FAC,Foro de Ciudadanos,188,2
33028,4249,PP,Partido Popular,81,1
33029,4314,PSOE,Partido Socialista Obrero Español,182,5
33029,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,81,2
33029,4249,PP,Partido Popular,18, 
33030,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,491,7
33030,4249,PP,Partido Popular,144,2
33030,2304,FAC,Foro de Ciudadanos,27, 
33030,4314,PSOE,Partido Socialista Obrero Español,18, 
33031,4314,PSOE,Partido Socialista Obrero Español,5636,6
33031,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,4952,6
33031,4875,SOMOS LLANGRÉU,Somos Llangréu,4133,5
33031,4249,PP,Partido Popular,2786,3
33031,1459,C's,Ciudadanos-Partido de la Ciudadanía,1033,1
33031,2304,FAC,Foro de Ciudadanos,793, 
33031,4146,PCPE,Partido Comunista de los Pueblos de España,109, 
33032,4314,PSOE,Partido Socialista Obrero Español,2821,8
33032,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,1455,4
33032,4873,SLL,Somos Laviana,1024,2
33032,4249,PP,Partido Popular,746,2
33032,2304,FAC,Foro de Ciudadanos,619,1
33032,1459,C's,Ciudadanos-Partido de la Ciudadanía,199, 
33032,3996,MSR,Movimiento Social Republicano,43, 
33033,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,2516,8
33033,4314,PSOE,Partido Socialista Obrero Español,2105,6
33033,4249,PP,Partido Popular,687,2
33033,1840,CxAsturies,Compromisu por Asturies,308,1
33033,1459,C's,Ciudadanos-Partido de la Ciudadanía,269, 
33033,2304,FAC,Foro de Ciudadanos,132, 
33035,4249,PP,Partido Popular,2562,7
33035,4314,PSOE,Partido Socialista Obrero Español,1923,5
33035,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,928,2
33035,4874,SOMOS LLANERA,Somos Llanera,921,2
33035,1459,C's,Ciudadanos-Partido de la Ciudadanía,489,1
33035,2304,FAC,Foro de Ciudadanos,270, 
33036,4314,PSOE,Partido Socialista Obrero Español,2958,7
33036,2304,FAC,Foro de Ciudadanos,1540,4
33036,5318,VECINOSxLLANES,VecinosxLlanes,1410,3
33036,4249,PP,Partido Popular,1147,2
33036,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,651,1
33037,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,10168,12
33037,4314,PSOE,Partido Socialista Obrero Español,3870,4
33037,4249,PP,Partido Popular,2757,3
33037,4878,Somos Mieres,Somos Mieres,2449,2
33037,1459,C's,Ciudadanos-Partido de la Ciudadanía,621, 
33037,2304,FAC,Foro de Ciudadanos,432, 
33037,4146,PCPE,Partido Comunista de los Pueblos de España,147, 
33038,4314,PSOE,Partido Socialista Obrero Español,565,4
33038,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,511,4
33038,0676,AMI,Agrupación Morciniega Independiente,234,1
33038,4880,Somos Morcín,Somos Morcín,160,1
33038,4249,PP,Partido Popular,128,1
33038,2304,FAC,Foro de Ciudadanos,80, 
33039,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,607,6
33039,3285,IU-IX,IZQUIERDA UNIDA DE ASTURIAS-IZQUIERDA XUNIDA D'ASTURIES,252,2
33039,4252,P.P.,PARTIDO POPULAR,167,1
33039,2305,FAC,FORO DE CIUDADANOS,100, 
33040,4314,PSOE,Partido Socialista Obrero Español,1258,7
33040,1113,ASTURIANISTES,Asturianistes,586,3
33040,4249,PP,Partido Popular,351,1
33040,2304,FAC,Foro de Ciudadanos,263,1
33040,0044,AGORA NAVA,Agora Nava,230,1
33040,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,150, 
33040,4265,PxL CON LAS MANOS LIMPIAS,Partido por la Libertad con las Manos Limpias,43, 
33041,4314,PSOE,Partido Socialista Obrero Español,2480,8
33041,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,1048,3
33041,4249,PP,Partido Popular,826,2
33041,2304,FAC,Foro de Ciudadanos,124, 
33042,3022,IPÑ,Independientes por Noreña,693,4
33042,4314,PSOE,Partido Socialista Obrero Español,676,3
33042,1865,CA NOREÑA,Conceyu Abiertu por Noreña,400,2
33042,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,359,2
33042,4249,PP,Partido Popular,342,1
33042,2299,FORO,Foro,180,1
33043,4314,PSOE,Partido Socialista Obrero Español,416,7
33043,4249,PP,Partido Popular,49, 
33043,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,15, 
33044,4249,PP,Partido Popular,37088,11
33044,4881,SOMOS OVIEDO,Somos Oviedo,20514,6
33044,4314,PSOE,Partido Socialista Obrero Español,19385,5
33044,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,9972,3
33044,1459,C's,Ciudadanos-Partido de la Ciudadanía,9139,2
33044,2304,FAC,Foro de Ciudadanos,4151, 
33044,5372,VOX,Vox,1365, 
33044,5161,UPyD,Unión Progreso y Democracia,1345, 
33044,2064,EB,Escaños en Blanco,960, 
33044,2048,Equo,Equo,819, 
33044,0997,ANDECHA,Andecha Astur,296, 
33044,4210,PH,Partido Humanista,135, 
33044,4813,SAIn,Solidaridad y Autogestión Internacionalista,133, 
33044,4146,PCPE,Partido Comunista de los Pueblos de España,126, 
33045,4314,PSOE,Partido Socialista Obrero Español,1030,5
33045,2304,FAC,Foro de Ciudadanos,713,3
33045,4249,PP,Partido Popular,604,3
33045,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,481,2
33046,2304,FAC,Foro de Ciudadanos,208,4
33046,4314,PSOE,Partido Socialista Obrero Español,116,2
33046,4248,P.P.,Partido Popular,96,1
33046,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,3, 
33047,4249,PP,Partido Popular,507,5
33047,4314,PSOE,Partido Socialista Obrero Español,255,3
33047,2304,FAC,Foro de Ciudadanos,109,1
33047,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,8, 
33048,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,84,5
33048,4252,P.P.,PARTIDO POPULAR,28, 
33049,4314,PSOE,Partido Socialista Obrero Español,2126,9
33049,4249,PP,Partido Popular,829,3
33049,0349,VIP,Agrupación de Electores Vecinos Independientes por Piloña,306,1
33049,1421,CdP,Circulo de Piloña,231, 
33049,2304,FAC,Foro de Ciudadanos,227, 
33049,5140,Upil,Unión Piloñesa,151, 
33049,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,130, 
33049,5160,UP y D,Unión Progreso y Democracia,24, 
33050,2304,FAC,Foro de Ciudadanos,210,3
33050,4314,PSOE,Partido Socialista Obrero Español,179,3
33050,4249,PP,Partido Popular,80,1
33050,3443,IU-IX,Izquierda Unida - Izquierda Xunida d'Asturies,30, 
33051,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,2238,7
33051,4252,P.P.,PARTIDO POPULAR,1156,3
33051,3285,IU-IX,IZQUIERDA UNIDA DE ASTURIAS-IZQUIERDA XUNIDA D'ASTURIES,684,2
33051,2305,FAC,FORO DE CIUDADANOS,334,1
33052,4314,PSOE,Partido Socialista Obrero Español,271,4
33052,4249,PP,Partido Popular,246,3
33052,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,45, 
33053,4314,PSOE,Partido Socialista Obrero Español,510,7
33053,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,215,2
33053,4249,PP,Partido Popular,65, 
33054,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,669,6
33054,0240,IxR,AGRUPACION DE ELECTORES INDEPENDIENTES DE LAS REGUERAS,330,2
33054,4252,P.P.,PARTIDO POPULAR,144,1
33054,2305,FAC,FORO DE CIUDADANOS,88, 
33054,3285,IU-IX,IZQUIERDA UNIDA DE ASTURIAS-IZQUIERDA XUNIDA D'ASTURIES,0, 
33055,4314,PSOE,Partido Socialista Obrero Español,733,7
33055,2304,FAC,Foro de Ciudadanos,241,2
33055,4249,PP,Partido Popular,81, 
33055,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,59, 
33056,2304,FAC,Foro de Ciudadanos,1389,7
33056,4314,PSOE,Partido Socialista Obrero Español,588,2
33056,4609,PUEBLU,Pueblu,539,2
33056,4249,PP,Partido Popular,429,2
33056,4665,RSP,Ribadesella Sí Puede,149, 
33056,5162,UPyD,Unión Progreso Y Democracia,70, 
33057,4314,PSOE,Partido Socialista Obrero Español,593,6
33057,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,194,1
33057,4249,PP,Partido Popular,134,1
33057,2304,FAC,Foro de Ciudadanos,132,1
33058,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,581,5
33058,4314,PSOE,Partido Socialista Obrero Español,512,5
33058,2304,FAC,Foro de Ciudadanos,109,1
33058,4249,PP,Partido Popular,49, 
33059,2305,FAC,FORO DE CIUDADANOS,2138,9
33059,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,711,3
33059,4252,P.P.,PARTIDO POPULAR,410,1
33059,3285,IU-IX,IZQUIERDA UNIDA DE ASTURIAS-IZQUIERDA XUNIDA D'ASTURIES,149, 
33061,4314,PSOE,Partido Socialista Obrero Español,212,6
33061,4249,PP,Partido Popular,36,1
33060,4314,PSOE,Partido Socialista Obrero Español,3470,7
33060,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,2258,5
33060,4884,SOMOS SAMARTÍN DEL REI AURELIO,Somos Samartín del Rei Aurelio,1763,3
33060,4249,PP,Partido Popular,1137,2
33060,2304,FAC,Foro de Ciudadanos,277, 
33063,4249,PP,Partido Popular,188,4
33063,4314,PSOE,Partido Socialista Obrero Español,176,3
33063,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,1, 
33062,0636,AIS,Agrupación Independiente por Santalla,212,4
33062,4314,PSOE,Partido Socialista Obrero Español,148,3
33062,4249,PP,Partido Popular,3, 
33064,4314,PSOE,Partido Socialista Obrero Español,131,6
33064,2304,FAC,Foro de Ciudadanos,24,1
33064,4249,PP,Partido Popular,14, 
33064,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,0, 
33065,3008,PROMUSA,Independientes por el Progreso Municipal de Sariego,428,5
33065,4314,PSOE,Partido Socialista Obrero Español,155,2
33065,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,109,1
33065,4249,PP,Partido Popular,106,1
33065,2299,FORO,Foro,48, 
33066,4314,PSOE,Partido Socialista Obrero Español,6204,7
33066,2304,FAC,Foro de Ciudadanos,4025,5
33066,4886,Somos Siero,Somos Siero,3697,4
33066,4249,PP,Partido Popular,3149,3
33066,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,2876,3
33066,4524,PVF,Plataforma Vecinal de la Fresneda,1439,1
33066,1454,C's,Ciudadanos-Partido de la Ciudadania,1338,1
33066,4224,PINSI,Partido Independiente de Siero,1336,1
33066,1862,CONCEJO,Concejo Astur,477, 
33066,5372,VOX,Vox,137, 
33067,4314,PSOE,Partido Socialista Obrero Español,423,5
33067,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,102,1
33067,4249,PP,Partido Popular,87,1
33068,4314,PSOE,Partido Socialista Obrero Español,485,7
33068,2304,FAC,Foro de Ciudadanos,173,2
33068,4249,PP,Partido Popular,21, 
33069,1316,CISB,Candidatura Independiente Concejo de Soto del Barco,1345,7
33069,2304,FAC,Foro de Ciudadanos,352,1
33069,4314,PSOE,Partido Socialista Obrero Español,274,1
33069,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,232,1
33069,4249,PP,Partido Popular,215,1
33070,4249,PP,Partido Popular,1005,5
33070,4314,PSOE,Partido Socialista Obrero Español,891,5
33070,2304,FAC,Foro de Ciudadanos,246,1
33071,4314,PSOE,Partido Socialista Obrero Español,363,6
33071,4249,PP,Partido Popular,71,1
33072,4314,PSOE,Partido Socialista Obrero Español,501,4
33072,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,362,3
33072,4249,PP,Partido Popular,241,2
33073,4314,PSOE,Partido Socialista Obrero Español,2377,9
33073,4249,PP,Partido Popular,1208,5
33073,4887,SOTI,Somos Tineo,430,1
33073,2304,FAC,Foro de Ciudadanos,317,1
33073,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,262,1
33073,1459,C's,Ciudadanos-Partido de la Ciudadanía,242, 
33034,4314,PSOE,Partido Socialista Obrero Español,2637,8
33034,4249,PP,Partido Popular,972,3
33034,2304,FAC,Foro de Ciudadanos,920,3
33034,5169,URAS,Unión Renovadora Asturiana,800,2
33034,3282,IU-IX,Izquierda Unida de Asturias - Izquierda Xunida d'Asturies,584,1
33074,4314,PSOE,Partido Socialista Obrero Español,1405,6
33074,4249,PP,Partido Popular,1080,5
33074,1448,CIVE,Ciudadanos Independientes Por Vegadeo,66, 
33075,4314,PSOE,Partido Socialista Obrero Español,147,6
33075,4249,PP,Partido Popular,33,1
33075,2304,FAC,Foro de Ciudadanos,18, 
33076,4249,PP,Partido Popular,3074,8
33076,4314,PSOE,Partido Socialista Obrero Español,2993,7
33076,2304,FAC,Foro de Ciudadanos,704,1
33076,4894,Somos Villaviciosa,Somos Villaviciosa,637,1
33076,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,280, 
33077,4249,PP,Partido Popular,679,7
33077,3283,IU-IX,Izquierda Unida de Asturias-Izquierda Xunida d'Asturies,166,1
33077,4314,PSOE,Partido Socialista Obrero Español,132,1
33077,2304,FAC,Foro de Ciudadanos,43, 
33078,4318,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,90,4
33078,4252,P.P.,PARTIDO POPULAR,30,1
33078,2305,FAC,FORO DE CIUDADANOS,22, 
